input 122: successful attacks = 1, inputs = [['36']], input deviations = [['19.968577302504283']], output change = ['15.427952418039439'], times = [0.0011641979217529297], max_time = 0.0011641979217529297
input 123: successful attacks = 1, inputs = [['36']], input deviations = [['19.968402748067767']], output change = ['15.4278175552748'], times = [0.0012066364288330078], max_time = 0.0012066364288330078
input 124: successful attacks = 1, inputs = [['36']], input deviations = [['19.968264826511977']], output change = ['15.427710995494948'], times = [0.0011987686157226562], max_time = 0.0011987686157226562
input 125: successful attacks = 1, inputs = [['36']], input deviations = [['19.968610924149193']], output change = ['15.42797839450887'], times = [0.0012047290802001953], max_time = 0.0012047290802001953
input 126: successful attacks = 1, inputs = [['36']], input deviations = [['19.968067650959814']], output change = ['15.427558655396325'], times = [0.0012173652648925781], max_time = 0.0012173652648925781
input 127: successful attacks = 1, inputs = [['36']], input deviations = [['19.967907093182568']], output change = ['15.42743460661157'], times = [0.0012042522430419922], max_time = 0.0012042522430419922
input 128: successful attacks = 1, inputs = [['36']], input deviations = [['19.966881178058312']], output change = ['15.426641972790776'], times = [0.0012187957763671875], max_time = 0.0012187957763671875
input 129: successful attacks = 1, inputs = [['36']], input deviations = [['19.966659000294044']], output change = ['15.426470315695724'], times = [0.001168966293334961], max_time = 0.001168966293334961
input 130: successful attacks = 1, inputs = [['36']], input deviations = [['19.96623369861557']], output change = ['15.426141722728858'], times = [0.001180887222290039], max_time = 0.001180887222290039
input 131: successful attacks = 1, inputs = [['36']], input deviations = [['19.976078421930925']], output change = ['15.433747869154558'], times = [0.00119781494140625], max_time = 0.00119781494140625
input 132: successful attacks = 1, inputs = [['36']], input deviations = [['19.975838068328564']], output change = ['15.433562169197785'], times = [0.0012252330780029297], max_time = 0.0012252330780029297
input 133: successful attacks = 1, inputs = [['36']], input deviations = [['19.975669837741773']], output change = ['15.43343219231221'], times = [0.0011489391326904297], max_time = 0.0011489391326904297
input 134: successful attacks = 1, inputs = [['36']], input deviations = [['19.975740863149408']], output change = ['15.433487067358783'], times = [0.0011782646179199219], max_time = 0.0011782646179199219
